name,path,activity,type,bodyPart,description,thumbnailUrl
2023 xc006,30331/Plan unique/2023_xc006.mp4,Planchas contra pared,strength,"""Pecho","""Pecho, Tríceps""",30331/Plan unique/images/54096180.png
2023 xf002,30331/Plan unique/2023_xf002.mp4,Molinillo,strength,Oblicuos,Oblicuos,30331/Plan unique/images/54096184.png
2023 cw002,4510672/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 da004,4510672/Plan unique/2023_da004.mp4,Giro ruso - Mancuerna,strength,"""Oblicuos","""Oblicuos, Todos los abdominales""",
2023 dc001,4510672/Plan unique/2023_dc001.mp4,Aperturas - Mancuernas,strength,Pecho,Pecho,
2023 dl006,4510672/Plan unique/2023_dl006.mp4,Flexion lateral a la derecha - Mancuernas,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",4510672/Plan unique/images/946683380.png
2023 dl006m,4510672/Plan unique/2023_dl006m.mp4,Flexion lateral a la izquierda - Mancuernas,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",4510672/Plan unique/images/946683381.png
2023 id0004,4510672/Plan unique/2023_id0004.mp4,Balanceo sobre la cabeza - Mancuerna,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Zona lumbar, Hombros parte delantera, Todos los abdominales""",4510672/Plan unique/images/946683382.png
2023 id0021,4510672/Plan unique/2023_id0021.mp4,Plancha con remo - Mancuerna,strength,"""Dorsales","""Dorsales, Todos los abdominales, Bíceps, Hombros parte trasera""",
2023 id0237,4510672/Plan unique/2023_id0237.mp4,"""Trippling high knees","interval""",strength,"strength,Cuádriceps",
2023 id0238,4510672/Plan unique/2023_id0238.mp4,"""Trippling heel to butt","interval""",strength,"strength,Corvas",
2023 impact124,4510672/Plan unique/2023_impact124.mp4,Sentadilla búlgara,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",
2023 impact124m,4510672/Plan unique/2023_impact124m.mp4,Sentadilla búlgara,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Piernas""",
2023 oa033,4510672/Plan unique/2023_oa033.mp4,gemelos de pie - Mancuernas,strength,Gemelos,Gemelos,
2023 cw002,4510722/Plan unique/2023_cw002.mp4,Descanso,cardio,Cuerpo completo,Cuerpo completo,
2023 id1190,4510722/Plan unique/2023_id1190.mp4,Clock lunges,strength,"""Cuádriceps","""Cuádriceps, Glúteos, Corvas""",4510722/Plan unique/images/946675797.png
2023 oa001,4510722/Plan unique/2023_oa001.mp4,Planchas,strength,"""Pecho","""Pecho, Tríceps""",
2023 oa062,4510722/Plan unique/2023_oa062.mp4,gemelo derecho de pie,strength,Gemelos,Gemelos,
2023 oa062m,4510722/Plan unique/2023_oa062m.mp4,Gemelo a una pierna,strength,Gemelos,Gemelos,4510722/Plan unique/images/946675795.png
2023 xa007,4510722/Plan unique/2023_xa007.mp4,Crunch oblicuo,strength,Oblicuos,Oblicuos,
